,affiliate,date,employer,localization,title,topic,url
76,État,26 Juin. 19,Musée de l'Armée,Paris (75),Électricien - Éclairagiste,Immobilier • Bâtiment • Infrastructures,https://www.place-emploi-public.gouv.fr/offre-emploi/lectricien---clairagiste-reference-2019-154017
77,État,26 Juin. 19,Ecole des hautes études en sciences sociales,Bouches du Rhône (13),Agent en charge des captations vidéos/photos (H/F) ,Culture et patrimoine,https://www.place-emploi-public.gouv.fr/offre-emploi/agent-en-charge-des-captations-videosphotos-hf--reference-2019-212081
78,État,26 Juin. 19,DRJSCS Nord-pas-de-Calais-Picardie,Somme (80),Chargé (e) de mission qualité et continuité éducative,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/charge-e-de-mission-qualite-et-continuite-educative-reference-2019-214507
79,État,26 Juin. 19,SIEC - Maison des Examens,Val de Marne (94),Chef de bureau sujets de l'enseignement général et technologique,Administration générale,https://www.place-emploi-public.gouv.fr/offre-emploi/chef-de-bureau-sujets-de-l-enseignement-general-et-technologique-reference-2019-196069
80,État,26 Juin. 19,DRJSCS Nord-pas-de-Calais-Picardie,Somme (80),Responsable budgétaire et financière,Gestion budgétaire et financière,https://www.place-emploi-public.gouv.fr/offre-emploi/responsable-budgetaire-et-financiere-reference-2019-214497
81,État,26 Juin. 19,Sorbonne université– Services universitaires,Paris (75),Gestionnaires RH Pension F/H (réf.3042/3066),Ressources humaines,https://www.place-emploi-public.gouv.fr/offre-emploi/gestionnaires-rh-pension-fh-ref30423066-reference-2018-131366
82,État,26 Juin. 19,Réseau des acheteurs hospitaliers,Paris (75),ASSISTANT(E) ACHAT MARCHES PUBLICS (H/F),Achat,https://www.place-emploi-public.gouv.fr/offre-emploi/assistante-achat-marches-publics-hf-reference-2017-97753
83,État,26 Juin. 19,Réseau des acheteurs hospitaliers,Paris (75),JURISTE EXPERIMENTE(E) EN DROIT DES MARCHES PUBLICS (H/F) ,Affaires juridiques,https://www.place-emploi-public.gouv.fr/offre-emploi/juriste-experimentee-en-droit-des-marches-publics-hf--reference-2017-99504
84,État,26 Juin. 19,Institut National des Sciences Appliquées de Strasbourg,Bas Rhin (67),Ingénieur d'études en fabrication mécanique,Enseignement supérieur • Recherche • Développement,https://www.place-emploi-public.gouv.fr/offre-emploi/ingenieur-d-etudes-en-fabrication-mecanique-reference-2019-217305
85,État,26 Juin. 19,Institut National des Sciences Appliquées de Strasbourg,Bas Rhin (67),Secrétaire de département,Enseignement supérieur • Recherche • Développement,https://www.place-emploi-public.gouv.fr/offre-emploi/secretaire-de-departement-reference-2019-217313
86,État,26 Juin. 19,DRJSCS Nord-pas-de-Calais-Picardie,Oise (60),"Gestionnaire administratif - secteur jeunesse, sports et éducation populaire",Administration générale,https://www.place-emploi-public.gouv.fr/offre-emploi/gestionnaire-administratif---secteur-jeunesse-sports-et-education-populaire-reference-2019-214541
